host,gpu,cpu,ncores,case,target,ncells,arm,iters_asked,iters_done,wall_s,ms_per_iter,ns_per_cell,status
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,brae,100,100,0.787,7.87,554.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,of,100,100,1.173,11.73,826.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,amgx,100,100,3.502,35.02,2466.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,petsc,100,100,4.502,45.02,3170.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,brae,100,100,1.414,14.14,145.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,of,100,4,2.418,0,0,stopped_at_4
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,amgx,100,100,16.863,168.63,1730.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,petsc,100,100,18.718,187.18,1920.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,brae,100,100,7.028,70.28,78.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,of,100,100,9.496,94.96,106.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,amgx,100,100,142.854,1428.54,1594.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,petsc,100,100,148.252,1482.52,1654.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,brae,100,100,50.935,509.35,71.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,of,100,100,107.226,1072.26,149.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,amgx,100,100,1229.891,12298.91,1715.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,petsc,100,100,1278.474,12784.74,1783.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,30000000,24192000,brae,100,100,180.123,1801.23,74.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,30000000,24192000,of,100,24,136.373,0,0,stopped_at_24
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,30000000,24192000,amgx,100,38,1563.713,0,0,stopped_at_38
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,30000000,24192000,petsc,100,1,112.285,0,0,stopped_at_1
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,brae,100,100,0.798,7.98,534.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,of,100,100,1.594,15.94,1067.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,amgx,100,100,2.936,29.36,1965.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,petsc,100,100,4.007,40.07,2682.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,brae,100,100,1.485,14.85,232.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,of,100,100,3.551,35.51,554.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,amgx,100,100,8.517,85.17,1330.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,petsc,100,100,9.854,98.54,1539.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,brae,100,100,11.133,111.33,108.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,of,100,100,44.620,446.20,435.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,amgx,100,100,127.664,1276.64,1246.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,petsc,100,100,132.724,1327.24,1296.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,brae,100,100,108.863,1088.63,108.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,of,100,100,920.952,9209.52,921.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,amgx,100,100,1482.785,14827.85,1482.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,petsc,100,3,82.149,0,0,stopped_at_3
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,30000000,29584000,brae,100,0,93.505,0,0,stopped_at_0
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,30000000,29584000,of,100,100,4143.897,41438.97,1400.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,brae,100,100,1.742,17.42,155.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,of,100,100,1.711,17.11,152.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,amgx,100,100,21.000,210.00,1875.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,petsc,100,100,23.044,230.44,2057.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,brae,100,100,6.815,68.15,76.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,of,100,100,8.402,84.02,93.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,amgx,100,100,151.669,1516.69,1692.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,petsc,100,100,157.230,1572.30,1754.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,brae,100,100,47.651,476.51,66.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,of,100,100,93.319,933.19,130.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,amgx,100,100,1354.214,13542.14,1889.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,petsc,100,100,1389.602,13896.02,1938.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,brae,100,100,1.170,11.70,104.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,of,100,100,1.181,11.81,105.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,amgx,100,100,13.813,138.13,1233.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,petsc,100,100,15.718,157.18,1403.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,brae,100,100,5.369,53.69,59.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,of,100,100,6.223,62.23,69.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,amgx,100,100,106.685,1066.85,1190.7,ok
