host,gpu,cpu,ncores,case,target,ncells,arm,iters_asked,iters_done,wall_s,ms_per_iter,ns_per_cell,status
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,native,112000,brae,100,100,1.603,16.03,143.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,native,112000,of,100,100,1.826,18.26,163.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,brae,100,100,7.033,70.33,78.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,of,100,100,9.438,94.38,105.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,brae,100,100,50.685,506.85,70.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,of,100,100,107.554,1075.54,150.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,brae,100,100,1.723,17.23,153.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,of,100,100,1.578,15.78,140.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,brae,100,100,6.755,67.55,75.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,of,100,100,8.408,84.08,93.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,brae,100,100,47.559,475.59,66.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,of,100,100,93.280,932.80,130.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,brae,100,100,1.255,12.55,112.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,of,100,100,1.200,12.00,107.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,brae,100,100,5.373,53.73,60.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,of,100,100,6.227,62.27,69.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,brae,100,100,38.901,389.01,54.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,of,100,100,67.902,679.02,94.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,brae,100,100,0.825,8.25,294.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,of,100,100,0.867,8.67,309.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,brae,100,100,3.524,35.24,80.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,of,100,100,3.349,33.49,76.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,brae,100,100,22.927,229.27,65.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,of,100,100,34.075,340.75,97.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,native,16000,brae,100,100,0.931,9.31,581.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,native,16000,of,100,100,1.607,16.07,1004.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,brae,100,100,11.144,111.44,108.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,of,100,100,44.523,445.23,434.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,brae,100,100,108.242,1082.42,108.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,of,100,100,916.678,9166.78,916.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,brae,100,100,1.387,13.87,185.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,of,100,100,1.528,15.28,204.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,brae,100,100,5.077,50.77,88.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,of,100,100,5.583,55.83,97.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,brae,100,100,21.697,216.97,84.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,of,100,100,33.851,338.51,131.4,ok
