host,gpu,cpu,ncores,case,target,ncells,arm,iters_asked,iters_done,wall_s,ms_per_iter,ns_per_cell,status
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,spuma,100,100,5.513,55.13,3882.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,spuma,100,100,21.063,210.63,2161.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,spuma,100,100,146.537,1465.37,1635.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,spuma,100,100,1570.115,15701.15,2190.5,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,24000000,24192000,spuma,100,100,7413,74130.00,3064.2,ok_from_log
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,spuma,100,100,10.793,107.93,7225.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,spuma,100,100,46.234,462.34,7224.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,spuma,100,100,1495.217,14952.17,14601.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,spuma,100,100,21.999,219.99,1964.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,spuma,100,100,92.168,921.68,1028.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,spuma,100,100,619.369,6193.69,864.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,spuma,100,100,12.512,125.12,1117.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,spuma,100,100,66.899,668.99,746.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,spuma,100,100,499.089,4990.89,696.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,spuma,100,100,7.100,71.00,2535.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,spuma,100,100,37.423,374.23,855.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,spuma,100,100,217.491,2174.91,621.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,spuma,100,100,15.734,157.34,2107.7,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,spuma,100,100,58.822,588.22,1025.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,spuma,100,100,223.419,2234.19,867.2,ok
