host,gpu,cpu,ncores,case,target,ncells,arm,iters_asked,iters_done,wall_s,ms_per_iter,ns_per_cell,status
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,15000,14200,brae,200,200,1.131,5.66,398.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,100000,97470,brae,200,200,2.043,10.22,104.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,1000000,896000,brae,200,200,9.096,45.48,50.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,10000000,7168000,brae,200,200,61.070,305.35,42.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBend,24000000,24192000,brae,200,200,216.969,1084.85,44.8,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,15000,14938,brae,200,200,1.238,6.19,414.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,100000,64000,brae,200,200,2.013,10.06,157.3,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,1000000,1024000,brae,200,200,15.438,77.19,75.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,10000000,10000000,brae,200,200,148.827,744.13,74.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,aerofoilNACA0012,24000000,24336000,brae,200,0,78.687,0,0,stopped_at_0
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,native,112000,brae,200,200,2.120,10.60,94.6,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,1000000,896000,brae,200,200,8.316,41.58,46.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiq,10000000,7168000,brae,200,200,56.554,282.77,39.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,native,112000,brae,200,200,1.568,7.84,70.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,1000000,896000,brae,200,200,6.697,33.48,37.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,squareBendLiqNoNewtonian,10000000,7168000,brae,200,200,49.250,246.25,34.4,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,native,28000,brae,200,200,0.987,4.93,176.2,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,1000000,437500,brae,200,200,4.463,22.32,51.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,angledDuctExplicitFixedCoeff,10000000,3500000,brae,200,200,27.990,139.95,40.0,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,native,74650,brae,200,200,1.913,9.56,128.1,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,1000000,573858,brae,200,200,6.530,32.65,56.9,ok
192-222-51-196,NVIDIA GH200 480GB,aarch64,64,injectorPipe,10000000,2576294,brae,200,200,26.698,133.49,51.8,ok
